run,type,module,name,attrname,attrvalue,value
General-25-20191214-18:08:44-11140,param,,,*.node[*].applType,"""LHV""",
General-25-20191214-18:08:44-11140,param,,,*.node[*].appl.headerLength,80 bit,
General-25-20191214-18:08:44-11140,param,,,*.node[*].appl.sendBeacons,false,
General-25-20191214-18:08:44-11140,param,,,*.node[*].appl.dataOnSch,false,
General-25-20191214-18:08:44-11140,param,,,*.node[*].appl.beaconInterval,1s,
General-25-20191214-18:08:44-11140,param,,,*.node[*].veinsmobility.x,0,
General-25-20191214-18:08:44-11140,param,,,*.node[*].veinsmobility.y,0,
General-25-20191214-18:08:44-11140,param,,,*.node[*].veinsmobility.z,0,
General-25-20191214-18:08:44-11140,param,,,*.node[*].veinsmobility.setHostSpeed,false,
General-25-20191214-18:08:44-11140,param,,,*.node[5].veinsmobility.accidentCount,1,
General-25-20191214-18:08:44-11140,param,,,*.node[5].veinsmobility.accidentStart,353s,
General-25-20191214-18:08:44-11140,param,,,*.node[5].veinsmobility.accidentDuration,100000s,
General-25-20191214-18:08:44-11140,param,,,*.node[22].veinsmobility.accidentCount,1,
General-25-20191214-18:08:44-11140,param,,,*.node[22].veinsmobility.accidentStart,320s,
General-25-20191214-18:08:44-11140,param,,,*.node[22].veinsmobility.accidentDuration,100000s,
General-25-20191214-18:08:44-11140,param,,,*.playgroundSizeX,5100m,
General-25-20191214-18:08:44-11140,param,,,*.playgroundSizeY,50m,
General-25-20191214-18:08:44-11140,param,,,*.playgroundSizeZ,50m,
General-25-20191214-18:08:44-11140,param,,,*.annotations.draw,true,
General-25-20191214-18:08:44-11140,param,,,*.manager.updateInterval,1s,
General-25-20191214-18:08:44-11140,param,,,*.manager.host,"""localhost""",
General-25-20191214-18:08:44-11140,param,,,*.manager.port,9999,
General-25-20191214-18:08:44-11140,param,,,*.manager.autoShutdown,true,
General-25-20191214-18:08:44-11140,param,,,*.manager.launchConfig,"xmldoc(""erlangen.launchd.xml"")",
General-25-20191214-18:08:44-11140,param,,,*.rsu[0].mobility.x,0,
General-25-20191214-18:08:44-11140,param,,,*.rsu[0].mobility.y,0,
General-25-20191214-18:08:44-11140,param,,,*.rsu[0].mobility.z,3,
General-25-20191214-18:08:44-11140,param,,,*.rsu[*].applType,"""TraCIDemoRSU11p""",
General-25-20191214-18:08:44-11140,param,,,*.rsu[*].appl.headerLength,80 bit,
General-25-20191214-18:08:44-11140,param,,,*.rsu[*].appl.sendBeacons,false,
General-25-20191214-18:08:44-11140,param,,,*.rsu[*].appl.dataOnSch,false,
General-25-20191214-18:08:44-11140,param,,,*.rsu[*].appl.beaconInterval,1s,
